年份,排名(Rank),公司名称(Company),所在国家或地区(Country),所在行业(Industry),销售收入(Sales),利润(Profits),总资产(Assets),市值(Market Vaue)
2007,245,Northrop Grumman /诺斯古曼,美国(US),航空和国防,30.15,1.54,32.01,25.17
2007,247,Denso /日本电装,日本(JA),耐用消费品,27.13,1.44,28.86,31.78
2007,248,Sumitomo /住友,日本(JA),贸易公司,21.97,1.36,57.00,22.37
2007,249,BG Group /英国天然气,英国(UK),炼油,13.96,3.67,24.89,46.25
2007,250,Cemex /西迈克斯,墨西哥(MX),建筑,18.24,2.38,29.60,26.93
2007,251,Dominion Resources /领土资源,美国(US),公用事业,16.48,1.38,49.27,30.25
2007,252,Deere & Co /迪尔,美国(US),重要物品,22.06,1.69,34.15,24.54
2007,253,Diageo /帝亚吉,英国(UK),食品、饮料和烟草,13.42,3.53,23.69,53.22
2007,254,PNC Financial Services /PNC金融服务集团,美国(US),银行,10.94,2.60,101.82,21.47
2007,255,Bristol-Myers Squibb /百时美施贵宝,美国(US),制药与生物技术,17.91,1.59,25.58,53.27
2007,256,Chubb /丘博,美国(US),保险,14.00,2.53,50.28,21.01
2007,257,Woori Finance Holdings /友利金融控股,韩国(KO),银行,11.92,1.66,161.96,20.41
2007,258,Reliance Industries /诚信工业,印度(IN),炼油,18.05,2.11,21.75,42.62
2007,259,General Dynamics /通用动力,美国(US),航空和国防,24.06,1.86,22.38,30.99
2007,260,ABB /ABB集团,瑞士(SZ),重要物品,24.91,1.42,24.62,36.39
2007,260,Japan Tobacco /日本烟草,日本(JA),食品、饮料和烟草,17.10,1.72,24.97,43.74
2007,262,Aflac /美国家庭生命保险,美国(US),保险,14.62,1.48,59.81,23.27
2007,263,ACE /ACE保险,百慕大(BU),保险,13.33,2.30,67.14,18.31
2007,264,Archer Daniels /阿彻丹尼尔斯,美国(US),食品、饮料和烟草,39.09,1.60,25.05,22.42
2007,265,TeliaSonera Group /桑内拉电信,瑞典(SW),电信运营商,13.30,2.48,27.36,37.76
2007,266,Bank of Ireland /爱尔兰银行,爱尔兰(IR),银行,10.89,1.58,196.76,21.65
2007,267,Burlington Santa Fe /伯灵顿北方圣特菲公司,美国(US),运输,14.99,1.89,31.64,28.42
2007,268,Southern Company /美国南方电力,美国(US),公用事业,14.36,1.57,42.86,26.80
2007,269,Carnival /嘉年华游轮,巴拿马(PA)/英国(UK),旅馆餐厅和休闲,11.84,2.28,30.55,39.07
2007,270,Union Pacific /联合太平洋,美国(US),运输,15.58,1.61,36.52,26.69
2007,271,Royal KPN /荷兰电讯,荷兰(NL),电信运营商,15.75,2.09,26.70,29.70
2007,272,KDDI,日本(JA),电信运营商,26.05,1.62,20.40,33.96
2007,273,Anadarko Petroleum /阿纳达科石油,美国(US),炼油,10.19,4.85,58.73,18.52
2007,274,CBS,美国(US),媒体,14.32,1.66,43.51,23.73
2007,275,Shinhan Financial /新韩金融,韩国(KO),银行,10.07,1.71,158.67,21.52
2007,276,Telenor /挪威电信,挪威(NO),电信运营商,14.59,2.55,24.90,31.04
2007,277,Chubu Electric Power /中部电力,日本(JA),公用事业,18.30,1.02,47.59,26.33
2007,278,UES of Russia /俄罗斯联合能源,俄罗斯(RU),公用事业,26.60,0.64,42.05,47.68
2007,279,Takeda Pharmaceutical /武田药厂,日本(JA),制药与生物技术,10.32,2.67,25.78,59.04
2007,280,Devon Energy /戴文能源,美国(US),炼油,10.58,2.85,35.06,29.17
2007,281,Groupe Danone /达能,法国(FR),食品、饮料和烟草,18.57,1.78,19.47,41.26
2007,282,TNK-BP Holding,俄罗斯(RU),炼油,24.45,2.06,17.01,35.34
2007,283,CVS /希维斯,美国(US),零售,43.81,1.37,20.57,26.01
2007,283,Emerson Electric /爱默生电气,美国(US),多元化,20.64,1.91,19.10,34.35
2007,285,ACS Group /ACS集团,西班牙(SP),建筑,18.56,1.65,33.22,19.80
2007,286,Alcan /加拿大铝业,加拿大(CA),材料,22.96,1.73,27.95,19.04
2007,287,Veolia Environnement /威立雅环境集团,法国(FR),公用事业,29.84,0.74,41.59,27.83
